frequency;letter;
2;r;4,346534653
4;m;4,405940594
3;s;4,425742574
6;r;4,465346535
6;n;4,495049505
3;t;4,495049505
5;t;4,534653465
4;t;4,554455446
6;t;4,603960396
3;t;4,594059406
4;s;4,534653465
4;t;4,544554455
3;r;4,425742574
3;t;4,445544554
3;t;4,435643564
5;t;4,495049505
4;q;4,475247525
3;s;4,495049505
4;s;4,554455446
4;n;4,524752475
3;t;4,524752475
4;r;4,445544554
4;s;4,465346535
4;q;4,445544554
8;s;4,445544554
5;r;4,455445545
6;m;4,504950495
3;s;4,495049505
3;m;4,455445545
3;t;4,504950495
4;s;4,495049505
3;t;4,524752475
4;r;4,554455446
4;m;4,534653465
4;r;4,534653465
5;t;4,534653465
5;s;4,554455446
3;t;4,564356436
4;t;4,495049505
5;s;4,495049505
4;n;4,544554455
4;n;4,584158416
5;m;4,594059406
5;s;4,594059406
5;s;4,584158416
5;m;4,544554455
5;s;4,514851485
4;r;4,504950495
6;s;4,495049505
5;r;4,514851485
3;t;4,524752475
5;r;4,514851485
3;t;4,554455446
5;s;4,574257426
5;r;4,554455446
7;s;4,564356436
6;n;4,544554455
6;m;4,574257426
6;t;4,603960396
6;r;4,613861386
3;t;4,603960396
4;n;4,594059406
6;m;4,584158416
5;r;4,623762376
4;t;4,623762376
5;t;4,663366337
4;s;4,613861386
4;t;4,584158416
6;r;4,633663366
3;t;4,623762376
4;s;4,623762376
3;t;4,584158416
3;r;4,603960396
4;n;4,554455446
4;r;4,554455446
4;c;4,514851485
5;r;4,544554455
5;t;4,613861386
6;r;4,564356436
4;s;4,524752475
5;t;4,524752475
3;t;4,534653465
4;r;4,514851485
4;m;4,495049505
3;t;4,465346535
3;t;4,445544554
4;s;4,524752475
6;t;4,584158416
5;s;4,554455446
4;t;4,534653465
5;t;4,485148515
6;s;4,504950495
4;t;4,564356436
4;t;4,574257426
4;t;4,574257426
4;t;4,594059406
4;r;4,554455446
4;s;4,465346535
5;n;4,465346535
5;n;4,465346535
4;n;4,475247525
7;n;4,475247525
5;t;4,475247525
5;s;4,455445545
5;s;4,495049505
5;n;4,514851485
5;n;4,495049505
3;t;4,475247525
4;t;4,445544554
5;s;4,485148515
6;n;4,485148515
4;s;4,475247525
4;r;4,425742574
5;s;4,405940594
4;r;4,396039604
4;r;4,376237624
5;s;4,425742574
4;t;4,445544554
4;r;4,504950495
6;n;4,564356436
4;s;4,603960396
4;t;4,574257426
5;r;4,613861386
5;t;4,623762376
5;s;4,603960396
4;m;4,613861386
4;d;4,584158416
5;t;4,574257426
4;m;4,584158416
6;r;4,574257426
5;t;4,673267327
5;r;4,653465347
4;r;4,653465347
5;r;4,663366337
3;s;4,712871287
4;r;4,742574257
5;r;4,712871287
6;s;4,742574257
4;s;4,702970297
6;t;4,653465347
6;t;4,643564356
3;s;4,663366337
4;t;4,633663366
4;m;4,673267327
3;r;4,683168317
8;s;4,732673267
5;r;4,792079208
3;n;4,782178218
4;t;4,861386139
3;s;4,910891089
4;n;4,831683168
4;t;4,792079208
4;t;4,782178218
4;r;4,752475248
5;n;4,811881188
5;s;4,782178218
3;m;4,782178218
4;r;4,752475248
3;q;4,762376238
4;n;4,782178218
5;s;4,782178218
6;r;4,752475248
4;r;4,712871287
3;r;4,673267327
6;t;4,663366337
5;r;4,613861386
4;s;4,534653465
4;n;4,534653465
5;s;4,524752475
4;n;4,465346535
4;n;4,495049505
4;r;4,485148515
5;n;4,495049505
5;s;4,485148515
7;r;4,475247525
3;t;4,455445545
4;r;4,445544554
4;t;4,455445545
6;t;4,425742574
4;t;4,386138614
4;r;4,396039604
4;t;4,415841584
3;r;4,445544554
3;r;4,485148515
5;s;4,465346535
6;s;4,425742574
5;n;4,396039604
6;r;4,405940594
4;n;4,356435644
5;t;4,326732673
8;s;4,316831683
3;r;4,297029703
4;c;4,396039604
6;t;4,396039604
4;r;4,287128713
3;t;4,247524752
3;t;4,257425743
5;s;4,287128713
5;s;4,277227723
4;r;4,316831683
5;p;4,316831683
4;s;4,267326733
3;l;4,198019802
4;t;4,158415842
4;s;4,178217822
3;t;4,217821782
4;s;4,217821782
7;r;4,227722772
4;s;4,267326733
3;t;4,297029703
6;r;4,297029703
4;s;4,326732673
5;s;4,217821782
4;n;4,247524752
3;s;4,297029703
5;c;4,306930693
4;t;4,336633663
5;s;4,396039604
5;r;4,415841584
4;s;4,445544554
5;s;4,445544554
6;n;4,465346535
3;t;4,495049505
5;t;4,514851485
4;t;4,524752475
6;t;4,514851485
6;m;4,554455446
6;n;4,544554455
6;d;4,603960396
4;t;4,594059406
6;n;4,574257426
4;t;4,594059406
3;t;4,623762376
4;t;4,574257426
6;t;4,564356436
4;s;4,564356436
5;t;4,584158416
3;t;4,534653465
4;s;4,524752475
5;t;4,465346535
4;s;4,524752475
6;t;4,514851485
5;r;4,524752475
3;t;4,554455446
5;n;4,554455446
6;s;4,613861386
5;r;4,663366337
4;t;4,623762376
4;d;4,584158416
4;r;4,554455446
5;r;4,544554455
5;r;4,534653465
4;t;4,564356436
5;r;4,574257426
6;r;4,514851485
4;s;4,584158416
5;s;4,544554455
4;s;4,544554455
4;n;4,495049505
4;s;4,524752475
5;s;4,514851485
5;l;4,465346535
4;t;4,455445545
4;l;4,435643564
4;t;4,445544554
5;n;4,396039604
4;n;4,356435644
4;t;4,346534653
5;r;4,376237624
4;t;4,356435644
5;s;4,376237624
4;r;4,326732673
4;t;4,316831683
6;r;4,316831683
6;s;4,356435644
5;r;4,326732673
5;m;4,316831683
4;r;4,316831683
4;q;4,366336634
6;t;4,346534653
4;t;4,336633663
4;t;4,346534653
3;n;4,366336634
5;s;4,366336634
3;t;4,376237624
5;n;4,316831683
4;t;4,386138614
4;s;4,396039604
4;t;4,425742574
4;t;4,435643564
3;t;4,445544554
3;m;4,554455446
6;t;4,584158416
5;t;4,584158416
6;t;4,544554455
5;t;4,603960396
4;m;4,653465347
5;n;4,673267327
6;r;4,643564356
6;n;4,663366337
4;s;4,663366337
5;s;4,683168317
4;s;4,702970297
5;s;4,653465347
5;t;4,653465347
5;s;4,673267327
6;s;4,623762376
3;t;4,603960396
4;t;4,584158416
6;r;4,574257426
3;s;4,564356436
5;s;4,495049505
4;t;4,415841584
4;s;4,475247525
5;r;4,475247525
4;t;4,455445545
4;s;4,455445545
5;n;4,415841584
6;t;4,405940594
4;t;4,405940594
3;r;4,415841584
3;n;4,415841584
3;s;4,376237624
4;t;4,366336634
5;t;4,396039604
4;c;4,425742574
4;s;4,475247525
4;t;4,495049505
6;r;4,495049505
5;t;4,534653465
6;n;4,514851485
4;t;4,514851485
6;r;4,564356436
4;s;4,534653465
4;t;4,534653465
4;n;4,495049505
5;s;4,495049505
4;t;4,534653465
3;s;4,544554455
4;n;4,613861386
4;r;4,653465347
4;m;4,643564356
6;n;4,683168317
5;t;4,693069307
6;n;4,712871287
4;t;4,722772277
5;s;4,673267327
5;r;4,712871287
4;s;4,673267327
4;t;4,673267327
6;s;4,673267327
6;t;4,683168317
5;s;4,683168317
5;r;4,633663366
4;t;4,623762376
4;t;4,663366337
5;n;4,673267327
5;r;4,633663366
4;s;4,603960396
5;r;4,584158416
6;n;4,524752475
4;t;4,504950495
5;r;4,455445545
7;n;4,445544554
3;q;4,376237624
5;s;4,346534653
6;s;4,356435644
4;t;4,297029703
3;t;4,297029703
4;m;4,306930693
3;r;4,297029703
5;r;4,277227723
4;t;4,267326733
5;s;4,297029703
6;n;4,336633663
6;s;4,366336634
4;m;4,376237624
6;t;4,396039604
4;r;4,396039604
4;r;4,415841584
4;n;4,366336634
4;t;4,386138614
4;s;4,386138614
4;m;4,455445545
4;r;4,504950495
6;s;4,594059406
3;t;4,584158416
5;r;4,613861386
7;t;4,683168317
6;m;4,722772277
3;n;4,762376238
4;s;4,811881188
4;t;4,801980198
5;t;4,792079208
7;t;4,782178218
4;t;4,782178218
6;s;4,742574257
4;r;4,742574257
4;r;4,772277228
6;s;4,792079208
5;m;4,831683168
4;r;4,831683168
4;s;4,861386139
5;s;4,821782178
3;n;4,861386139
6;n;4,821782178
5;t;4,792079208
3;t;4,762376238
5;s;4,762376238
5;r;4,653465347
5;s;4,613861386
5;m;4,554455446
6;s;4,534653465
3;t;4,534653465
6;r;4,524752475
5;t;4,564356436
4;s;4,564356436
4;s;4,584158416
5;t;4,524752475
4;t;4,514851485
6;n;4,514851485
4;t;4,485148515
5;s;4,465346535
5;s;4,514851485
4;t;4,465346535
4;m;4,524752475
3;s;4,524752475
5;s;4,514851485
3;s;4,574257426
3;t;4,613861386
4;s;4,673267327
4;s;4,673267327
5;t;4,722772277
4;d;4,693069307
3;n;4,643564356
5;s;4,633663366
5;m;4,683168317
5;l;4,653465347
6;r;4,693069307
5;c;4,673267327
4;t;4,584158416
3;t;4,594059406
5;s;4,544554455
4;t;4,514851485
5;n;4,504950495
7;r;4,435643564
5;r;4,495049505
6;s;4,475247525
4;s;4,386138614
4;n;4,396039604
3;s;4,396039604
4;n;4,376237624
5;s;4,366336634
4;s;4,366336634
5;t;4,386138614
4;t;4,405940594
4;r;4,346534653
4;t;4,346534653
4;t;4,366336634
7;s;4,356435644
6;s;4,415841584
4;t;4,445544554
4;t;4,485148515
4;m;4,514851485
3;t;4,475247525
5;s;4,495049505
4;s;4,455445545
4;n;4,524752475
5;t;4,603960396
4;s;4,643564356
5;t;4,623762376
4;s;4,663366337
3;s;4,712871287
4;m;4,712871287
4;s;4,702970297
4;c;4,702970297
4;r;4,683168317
4;n;4,683168317
9;s;4,702970297
5;s;4,643564356
5;n;4,623762376
5;s;4,623762376
5;r;4,613861386
9;r;4,633663366
4;n;4,653465347
4;s;4,633663366
4;n;4,633663366
3;s;4,623762376
6;r;4,603960396
4;m;4,534653465
5;c;4,584158416
3;s;4,544554455
4;t;4,514851485
3;t;4,534653465
5;r;4,564356436
4;t;4,564356436
5;s;4,564356436
5;s;4,534653465
5;r;4,475247525
5;s;4,514851485
4;t;4,594059406
4;s;4,554455446
5;n;4,584158416
3;r;4,544554455
5;s;4,544554455
5;r;4,554455446
7;s;4,584158416
4;m;4,564356436
3;t;4,534653465
4;n;4,594059406
4;r;4,544554455
5;n;4,574257426
5;s;4,603960396
5;r;4,633663366
4;r;4,603960396
4;s;4,564356436
4;s;4,584158416
3;r;4,623762376
4;t;4,683168317
5;t;4,722772277
3;t;4,693069307
5;r;4,693069307
4;t;4,693069307
4;t;4,702970297
4;r;4,693069307
5;t;4,643564356
6;r;4,623762376
5;n;4,623762376
5;s;4,603960396
5;t;4,584158416
5;t;4,554455446
3;t;4,514851485
6;n;4,465346535
7;n;4,445544554
4;m;4,435643564
6;n;4,514851485
3;t;4,534653465
6;t;4,514851485
4;r;4,485148515
6;t;4,455445545
4;t;4,445544554
4;s;4,396039604
3;q;4,415841584
3;s;4,415841584
4;n;4,465346535
5;r;4,475247525
5;s;4,544554455
4;t;4,544554455
4;t;4,574257426
3;t;4,554455446
5;r;4,594059406
4;n;4,613861386
5;r;4,603960396
5;r;4,613861386
4;t;4,603960396
5;m;4,603960396
7;s;4,554455446
5;r;4,534653465
5;t;4,524752475
7;s;4,504950495
5;r;4,554455446
6;n;4,564356436
5;m;4,584158416
4;t;4,623762376
4;s;4,613861386
3;t;4,603960396
5;n;4,603960396
4;r;4,564356436
4;t;4,574257426
4;n;4,574257426
5;r;4,643564356
4;r;4,643564356
5;n;4,653465347
4;n;4,643564356
5;t;4,683168317
4;n;4,732673267
5;s;4,762376238
4;s;4,851485149
4;r;4,841584158
5;s;4,871287129
4;t;4,871287129
5;t;4,891089109
4;t;4,881188119
2;s;4,861386139
4;n;4,782178218
4;t;4,811881188
4;q;4,811881188
4;t;4,851485149
5;n;4,841584158
3;r;4,851485149
5;s;4,762376238
3;r;4,811881188
5;r;4,831683168
4;t;4,841584158
4;t;4,831683168
4;t;4,891089109
5;t;4,891089109
4;t;4,841584158
5;m;4,871287129
5;m;4,841584158
6;s;4,792079208
4;t;4,772277228
5;t;4,782178218
5;s;4,782178218
4;s;4,801980198
3;s;4,782178218
5;n;4,752475248
5;s;4,742574257
4;r;4,752475248
4;t;4,792079208
5;t;4,811881188
5;n;4,792079208
4;t;4,811881188
4;q;4,841584158
4;s;4,811881188
4;r;4,752475248
4;t;4,693069307
5;p;4,702970297
3;r;4,673267327
7;m;4,663366337
5;t;4,673267327
5;s;4,653465347
4;t;4,643564356
3;t;4,643564356
6;s;4,653465347
4;t;4,683168317
6;n;4,673267327
4;t;4,643564356
4;s;4,613861386
6;r;4,603960396
4;r;4,613861386
4;t;4,693069307
4;n;4,594059406
4;s;4,514851485
5;s;4,534653465
6;r;4,554455446
4;s;4,544554455
4;r;4,574257426
4;r;4,574257426
4;s;4,554455446
6;r;4,584158416
5;m;4,643564356
4;t;4,643564356
5;t;4,603960396
3;t;4,613861386
5;s;4,633663366
3;n;4,693069307
4;n;4,732673267
4;r;4,722772277
5;t;4,722772277
5;r;4,683168317
5;s;4,683168317
5;s;4,712871287
3;s;4,722772277
6;s;4,712871287
3;n;4,702970297
5;r;4,663366337
4;t;4,594059406
5;n;4,544554455
5;t;4,603960396
5;n;4,603960396
4;n;4,574257426
4;t;4,594059406
4;t;4,574257426
6;s;4,544554455
4;t;4,504950495
3;t;4,485148515
4;r;4,435643564
4;d;4,455445545
4;n;4,475247525
4;m;4,465346535
4;t;4,425742574
5;s;4,405940594
5;n;4,356435644
3;r;4,396039604
4;r;4,386138614
5;n;4,366336634
7;t;4,396039604
5;r;4,405940594
5;r;4,376237624
5;r;4,396039604
3;t;4,405940594
5;t;4,356435644
4;m;4,386138614
5;r;4,356435644
4;s;4,346534653
5;t;4,346534653
5;n;4,356435644
6;r;4,326732673
6;t;4,346534653
4;s;4,336633663
6;r;4,336633663
4;d;4,326732673
7;s;4,386138614
5;t;4,376237624
5;n;4,396039604
4;s;4,445544554
5;n;4,455445545
5;m;4,445544554
5;s;4,445544554
8;s;4,485148515
3;t;4,504950495
4;r;4,534653465
5;s;4,544554455
3;t;4,554455446
6;r;4,564356436
5;s;4,643564356
3;r;4,643564356
5;t;4,643564356
7;r;4,594059406
5;r;4,613861386
5;r;4,564356436
4;r;4,574257426
4;r;4,564356436
4;t;4,554455446
6;r;4,495049505
4;s;4,465346535
6;r;4,465346535
3;s;4,524752475
4;s;4,514851485
4;d;4,465346535
4;r;4,405940594
5;t;4,415841584
7;r;4,435643564
4;t;4,435643564
4;r;4,415841584
5;m;4,415841584
3;s;4,386138614
4;m;4,396039604
4;s;4,455445545
5;m;4,455445545
3;n;4,465346535
6;r;4,485148515
4;t;4,415841584
4;s;4,425742574
3;t;4,455445545
5;n;4,455445545
4;d;4,445544554
5;t;4,485148515
4;r;4,455445545
5;r;4,504950495
3;r;4,514851485
4;m;4,485148515
5;t;4,435643564
4;r;4,465346535
6;n;4,455445545
7;n;4,425742574
5;r;4,376237624
5;m;4,366336634
5;m;4,336633663
9;s;4,356435644
4;s;4,386138614
6;m;4,445544554
4;r;4,504950495
4;t;4,554455446
4;t;4,653465347
5;m;4,712871287
4;r;4,722772277
3;t;4,653465347
5;n;4,643564356
5;s;4,623762376
8;t;4,663366337
3;s;4,712871287
4;t;4,683168317
5;s;4,722772277
4;r;4,742574257
6;r;4,752475248
5;n;4,821782178
6;t;4,811881188
3;s;4,801980198
4;t;4,742574257
6;r;4,782178218
4;t;4,732673267
4;t;4,702970297
7;n;4,673267327
3;q;4,623762376
5;t;4,534653465
5;r;4,554455446
4;r;4,603960396
3;n;4,584158416
6;t;4,564356436
4;r;4,534653465
4;t;4,534653465
4;r;4,534653465
6;r;4,564356436
7;r;4,524752475
5;m;4,534653465
4;r;4,514851485
5;r;4,524752475
4;d;4,504950495
4;s;4,574257426
5;n;4,514851485
4;m;4,534653465
4;t;4,544554455
3;q;4,554455446
5;t;4,544554455
3;q;4,514851485
5;n;4,465346535
4;t;4,455445545
5;r;4,455445545
6;s;4,504950495
4;t;4,504950495
5;s;4,534653465
4;s;4,554455446
6;r;4,485148515
6;t;4,485148515
5;b;4,455445545
4;t;4,465346535
6;s;4,455445545
5;s;4,485148515
3;s;4,514851485
6;s;4,514851485
3;r;4,435643564
4;s;4,425742574
7;m;4,445544554
6;r;4,455445545
5;r;4,524752475
4;r;4,594059406
4;t;4,564356436
5;t;4,594059406
6;m;4,594059406
5;t;4,564356436
5;m;4,554455446
8;s;4,564356436
5;m;4,594059406
6;s;4,623762376
6;t;4,643564356
6;t;4,653465347
6;r;4,643564356
4;r;4,643564356
