frequency;letter;
4;r;4,683168317
4;r;4,683168317
5;s;4,673267327
4;s;4,683168317
4;r;4,663366337
4;s;4,663366337
5;s;4,653465347
5;s;4,613861386
6;s;4,623762376
5;s;4,564356436
8;r;4,574257426
5;s;4,653465347
5;t;4,603960396
5;n;4,554455446
5;s;4,594059406
6;r;4,584158416
4;r;4,584158416
4;d;4,544554455
4;t;4,534653465
4;t;4,554455446
4;t;4,504950495
3;r;4,524752475
5;t;4,534653465
6;n;4,504950495
4;n;4,524752475
5;m;4,485148515
3;s;4,495049505
3;s;4,455445545
5;r;4,475247525
3;t;4,475247525
6;s;4,445544554
4;c;4,435643564
6;r;4,425742574
5;s;4,455445545
4;t;4,405940594
3;t;4,445544554
6;s;4,465346535
7;r;4,445544554
7;s;4,455445545
4;r;4,475247525
6;t;4,465346535
4;s;4,445544554
6;s;4,455445545
4;t;4,435643564
4;n;4,425742574
4;t;4,405940594
5;s;4,445544554
5;t;4,425742574
3;r;4,396039604
4;t;4,396039604
3;t;4,396039604
4;n;4,356435644
5;r;4,376237624
4;r;4,366336634
5;m;4,336633663
3;s;4,316831683
5;s;4,277227723
4;t;4,306930693
4;t;4,277227723
6;r;4,257425743
7;t;4,267326733
4;m;4,277227723
4;t;4,287128713
3;r;4,336633663
6;s;4,366336634
5;m;4,386138614
5;m;4,376237624
5;t;4,396039604
4;r;4,435643564
5;s;4,415841584
3;r;4,425742574
6;s;4,435643564
4;r;4,405940594
4;n;4,415841584
4;s;4,435643564
4;s;4,455445545
4;r;4,534653465
3;d;4,524752475
6;r;4,544554455
4;t;4,603960396
5;t;4,633663366
4;t;4,613861386
3;q;4,623762376
5;t;4,584158416
4;t;4,554455446
3;s;4,554455446
4;s;4,574257426
4;r;4,574257426
6;r;4,554455446
4;t;4,594059406
5;s;4,564356436
4;s;4,564356436
3;s;4,673267327
6;s;4,643564356
5;s;4,623762376
6;n;4,594059406
3;r;4,554455446
5;t;4,534653465
5;r;4,574257426
4;n;4,554455446
3;r;4,485148515
3;s;4,514851485
3;r;4,495049505
5;d;4,534653465
5;n;4,574257426
5;n;4,594059406
5;t;4,594059406
5;r;4,544554455
5;l;4,534653465
4;r;4,514851485
5;r;4,584158416
4;t;4,633663366
5;t;4,613861386
3;r;4,603960396
7;t;4,663366337
3;t;4,732673267
5;r;4,752475248
3;l;4,752475248
5;t;4,752475248
8;s;4,732673267
4;t;4,693069307
4;s;4,702970297
5;r;4,673267327
4;m;4,653465347
4;t;4,663366337
4;s;4,663366337
4;m;4,693069307
5;t;4,683168317
3;r;4,702970297
4;t;4,683168317
4;r;4,673267327
5;t;4,613861386
5;s;4,554455446
5;n;4,534653465
3;t;4,504950495
6;s;4,435643564
5;s;4,415841584
6;n;4,445544554
5;t;4,425742574
5;s;4,435643564
5;t;4,475247525
4;r;4,495049505
3;s;4,534653465
5;s;4,524752475
6;s;4,524752475
4;t;4,475247525
4;t;4,485148515
3;t;4,504950495
5;s;4,514851485
4;r;4,504950495
4;c;4,465346535
3;t;4,485148515
6;s;4,514851485
3;p;4,554455446
4;t;4,544554455
6;s;4,514851485
3;t;4,524752475
4;d;4,534653465
4;s;4,495049505
5;n;4,514851485
3;t;4,475247525
3;n;4,504950495
4;r;4,445544554
4;s;4,425742574
5;s;4,435643564
4;r;4,445544554
5;n;4,396039604
3;t;4,326732673
5;r;4,306930693
4;s;4,287128713
8;r;4,287128713
3;t;4,277227723
4;t;4,237623762
6;r;4,267326733
5;t;4,287128713
5;r;4,297029703
5;s;4,336633663
4;s;4,316831683
6;r;4,297029703
5;n;4,326732673
4;t;4,435643564
4;t;4,445544554
7;t;4,475247525
5;t;4,514851485
5;l;4,504950495
4;n;4,504950495
5;s;4,554455446
3;s;4,564356436
4;r;4,594059406
4;s;4,653465347
3;s;4,683168317
5;r;4,653465347
3;s;4,693069307
3;t;4,673267327
5;m;4,643564356
3;t;4,683168317
3;t;4,663366337
4;t;4,742574257
4;s;4,732673267
4;t;4,722772277
5;t;4,594059406
3;s;4,603960396
4;t;4,613861386
5;s;4,623762376
5;t;4,613861386
3;t;4,594059406
3;s;4,574257426
4;r;4,574257426
4;t;4,544554455
4;t;4,495049505
4;s;4,495049505
3;r;4,495049505
5;s;4,485148515
4;c;4,504950495
6;r;4,524752475
3;m;4,534653465
4;t;4,504950495
4;p;4,425742574
5;r;4,465346535
5;t;4,485148515
5;t;4,475247525
3;t;4,485148515
3;r;4,465346535
5;m;4,455445545
3;t;4,435643564
5;s;4,455445545
6;m;4,445544554
8;s;4,455445545
5;s;4,435643564
7;r;4,455445545
4;r;4,455445545
2;t;4,425742574
5;n;4,425742574
7;r;4,396039604
4;s;4,376237624
4;s;4,376237624
4;r;4,386138614
3;t;4,386138614
4;s;4,376237624
2;p;4,346534653
3;s;4,297029703
5;n;4,297029703
4;s;4,287128713
2;q;4,326732673
4;s;4,306930693
4;m;4,306930693
3;r;4,326732673
4;c;4,326732673
6;s;4,346534653
4;t;4,336633663
4;t;4,396039604
5;t;4,475247525
4;c;4,504950495
6;n;4,514851485
4;r;4,524752475
4;n;4,564356436
5;r;4,594059406
4;t;4,574257426
3;s;4,564356436
5;t;4,574257426
4;l;4,613861386
3;s;4,584158416
7;r;4,574257426
4;s;4,574257426
5;m;4,574257426
4;n;4,594059406
4;t;4,603960396
4;t;4,683168317
4;t;4,683168317
5;r;4,663366337
4;r;4,673267327
5;t;4,643564356
5;r;4,613861386
4;r;4,603960396
4;t;4,574257426
3;t;4,544554455
4;s;4,534653465
5;c;4,475247525
4;t;4,554455446
3;s;4,504950495
2;s;4,524752475
3;t;4,514851485
5;r;4,554455446
3;q;4,514851485
7;s;4,455445545
3;t;4,425742574
4;t;4,386138614
4;n;4,336633663
4;t;4,306930693
5;s;4,326732673
5;r;4,316831683
5;n;4,326732673
5;t;4,247524752
5;r;4,227722772
4;m;4,277227723
4;s;4,277227723
3;n;4,287128713
3;t;4,326732673
5;r;4,336633663
3;s;4,346534653
4;r;4,336633663
4;m;4,405940594
6;s;4,386138614
5;r;4,376237624
4;s;4,425742574
4;s;4,445544554
4;t;4,435643564
3;t;4,405940594
5;t;4,405940594
4;t;4,445544554
6;r;4,445544554
5;n;4,445544554
5;t;4,485148515
5;r;4,544554455
5;c;4,514851485
5;t;4,485148515
4;s;4,504950495
5;r;4,504950495
5;n;4,445544554
4;s;4,435643564
3;s;4,445544554
3;s;4,396039604
6;s;4,346534653
6;t;4,376237624
4;t;4,376237624
3;t;4,356435644
4;t;4,346534653
4;s;4,386138614
3;s;4,435643564
4;t;4,415841584
5;r;4,376237624
7;r;4,326732673
4;r;4,336633663
6;s;4,306930693
4;t;4,346534653
4;t;4,366336634
5;n;4,346534653
4;n;4,316831683
5;t;4,336633663
5;r;4,376237624
3;n;4,366336634
4;t;4,396039604
3;t;4,445544554
5;r;4,465346535
3;t;4,475247525
4;n;4,524752475
4;t;4,603960396
5;t;4,603960396
6;m;4,564356436
4;n;4,594059406
5;s;4,623762376
6;m;4,643564356
4;r;4,643564356
8;n;4,643564356
5;c;4,653465347
6;r;4,653465347
5;t;4,663366337
4;n;4,712871287
4;t;4,742574257
4;t;4,702970297
6;s;4,683168317
4;s;4,663366337
3;r;4,594059406
7;n;4,594059406
7;r;4,584158416
5;t;4,564356436
3;t;4,524752475
5;s;4,544554455
5;s;4,564356436
3;t;4,524752475
5;r;4,475247525
4;r;4,425742574
5;s;4,435643564
5;n;4,415841584
6;t;4,346534653
4;n;4,306930693
6;r;4,297029703
3;s;4,247524752
5;t;4,188118812
4;t;4,148514851
4;c;4,128712871
4;t;4,178217822
5;s;4,217821782
4;r;4,207920792
5;t;4,198019802
4;r;4,158415842
4;n;4,148514851
4;r;4,158415842
5;s;4,128712871
4;r;4,168316832
4;c;4,198019802
4;t;4,178217822
5;m;4,158415842
5;t;4,198019802
5;m;4,227722772
4;r;4,257425743
4;m;4,287128713
5;r;4,297029703
4;t;4,336633663
4;t;4,425742574
5;c;4,475247525
5;r;4,445544554
4;n;4,455445545
5;r;4,465346535
4;t;4,475247525
4;t;4,455445545
6;r;4,485148515
4;t;4,495049505
7;s;4,524752475
3;s;4,485148515
6;r;4,475247525
7;n;4,524752475
4;s;4,534653465
7;r;4,554455446
3;r;4,554455446
4;r;4,584158416
4;c;4,594059406
4;r;4,613861386
4;t;4,594059406
5;s;4,544554455
4;q;4,594059406
4;p;4,584158416
4;t;4,564356436
6;c;4,554455446
6;r;4,603960396
4;r;4,584158416
3;r;4,584158416
5;t;4,633663366
4;n;4,663366337
5;s;4,663366337
4;t;4,683168317
4;n;4,643564356
4;r;4,633663366
3;s;4,693069307
3;t;4,663366337
7;r;4,623762376
4;t;4,594059406
4;t;4,564356436
5;r;4,504950495
5;s;4,485148515
4;n;4,495049505
3;t;4,514851485
3;t;4,514851485
4;r;4,544554455
4;l;4,504950495
4;r;4,514851485
4;t;4,514851485
3;t;4,524752475
7;n;4,475247525
5;t;4,455445545
6;r;4,455445545
4;t;4,465346535
4;d;4,485148515
5;r;4,455445545
4;n;4,425742574
6;s;4,455445545
4;r;4,504950495
5;r;4,495049505
4;s;4,544554455
5;r;4,574257426
4;s;4,524752475
6;t;4,534653465
4;m;4,544554455
4;s;4,524752475
4;s;4,514851485
3;s;4,554455446
7;r;4,524752475
4;r;4,544554455
6;s;4,504950495
5;s;4,495049505
5;n;4,504950495
3;t;4,514851485
5;t;4,524752475
5;s;4,554455446
7;s;4,534653465
4;t;4,574257426
5;n;4,574257426
5;m;4,544554455
3;t;4,514851485
6;t;4,534653465
4;t;4,504950495
5;n;4,465346535
5;n;4,455445545
4;s;4,475247525
6;s;4,554455446
5;n;4,594059406
4;s;4,613861386
4;n;4,633663366
4;t;4,673267327
5;s;4,702970297
4;s;4,663366337
5;r;4,712871287
7;r;4,722772277
6;r;4,693069307
8;n;4,742574257
3;t;4,762376238
4;s;4,742574257
7;r;4,792079208
6;r;4,831683168
4;l;4,871287129
5;m;4,900990099
4;n;4,900990099
4;t;4,920792079
4;n;4,920792079
3;t;4,861386139
4;s;4,801980198
6;r;4,811881188
3;s;4,772277228
4;s;4,792079208
3;r;4,811881188
4;r;4,811881188
6;s;4,772277228
4;r;4,801980198
4;r;4,801980198
4;s;4,752475248
6;l;4,663366337
4;t;4,633663366
4;t;4,623762376
4;n;4,574257426
4;n;4,544554455
4;r;4,504950495
5;r;4,524752475
5;r;4,465346535
4;t;4,485148515
5;m;4,475247525
4;r;4,504950495
5;m;4,475247525
5;n;4,455445545
4;s;4,396039604
4;n;4,405940594
6;s;4,346534653
3;t;4,356435644
5;t;4,346534653
4;n;4,336633663
4;d;4,396039604
3;s;4,435643564
4;t;4,396039604
4;s;4,386138614
4;r;4,405940594
4;t;4,425742574
3;t;4,415841584
4;s;4,376237624
5;r;4,376237624
5;t;4,326732673
6;r;4,346534653
5;m;4,356435644
4;m;4,366336634
5;c;4,415841584
4;t;4,445544554
3;t;4,485148515
3;r;4,475247525
6;r;4,455445545
4;s;4,425742574
3;s;4,425742574
6;m;4,415841584
4;s;4,405940594
4;r;4,475247525
4;m;4,475247525
4;t;4,435643564
4;t;4,405940594
3;t;4,386138614
3;r;4,485148515
6;r;4,534653465
7;r;4,594059406
5;s;4,623762376
4;s;4,584158416
5;t;4,544554455
3;s;4,574257426
5;n;4,554455446
6;s;4,524752475
5;n;4,534653465
4;t;4,574257426
3;n;4,554455446
5;c;4,534653465
4;t;4,514851485
4;r;4,475247525
4;q;4,445544554
4;r;4,445544554
5;t;4,495049505
4;t;4,504950495
5;n;4,524752475
5;t;4,524752475
4;t;4,524752475
6;m;4,514851485
3;s;4,504950495
4;n;4,514851485
4;n;4,534653465
6;r;4,495049505
3;s;4,514851485
5;m;4,514851485
5;m;4,465346535
6;r;4,415841584
6;s;4,425742574
5;r;4,435643564
4;r;4,465346535
4;s;4,485148515
4;t;4,495049505
4;n;4,475247525
3;t;4,455445545
4;t;4,465346535
5;t;4,415841584
5;n;4,396039604
3;t;4,326732673
3;r;4,277227723
4;m;4,287128713
4;t;4,257425743
4;r;4,227722772
4;s;4,217821782
3;t;4,227722772
5;t;4,247524752
7;t;4,297029703
5;t;4,336633663
4;t;4,326732673
4;r;4,326732673
4;t;4,366336634
3;t;4,297029703
4;m;4,316831683
6;n;4,366336634
5;m;4,425742574
3;t;4,425742574
6;n;4,415841584
3;s;4,425742574
4;t;4,405940594
3;t;4,376237624
3;t;4,366336634
5;c;4,366336634
4;t;4,376237624
4;r;4,386138614
4;r;4,396039604
4;r;4,396039604
5;s;4,386138614
5;n;4,396039604
3;d;4,405940594
5;t;4,404040404
4;n;4,382978723
5;r;4,404494382
6;s;4,404761905
5;s;
4;s;
5;s;
3;d;
4;r;
4;l;
4;r;
4;l;
4;r;
4;r;
4;r;
4;r;
4;t;
4;r;
5;n;
6;s;
4;t;
3;r;
4;l;
4;r;
5;t;
7;n;
6;r;
3;s;
3;s;
3;r;
6;t;
5;s;
5;s;
4;n;
4;t;
6;r;
4;r;
4;s;
3;s;
5;t;
4;m;
4;t;
6;t;
4;s;
4;r;
4;l;
5;n;
6;t;
5;r;
4;s;
7;s;
4;t;
3;t;
6;r;
5;s;
4;t;
3;t;
5;t;
4;r;
3;r;
3;t;
5;r;
5;r;
7;c;
4;r;
4;s;
7;s;
4;n;
3;t;
5;s;
3;t;
6;t;
4;r;
4;t;
5;n;
5;s;
6;s;
3;s;
3;n;
5;s;
4;t;
5;t;
8;s;
4;t;
4;s;
3;t;
7;n;
4;s;
5;t;
5;s;
7;s;
4;s;
9;s;
4;t;
5;n;
5;t;
5;r;
5;r;
3;t;
4;s;
5;s;
6;n;
4;t;
3;t;
5;s;
5;s;
4;n;
4;s;
3;r;
7;s;
6;s;
5;d;
4;m;
4;s;
5;s;
4;t;
6;s;
6;s;
6;s;
4;p;
4;s;
6;r;
4;t;
5;r;
6;s;
3;r;
4;r;
5;r;
4;s;
3;t;
3;n;
6;r;
6;s;
5;r;
5;s;
5;s;
4;s;
4;s;
5;s;
4;d;
4;t;
4;r;
5;r;
6;s;
6;s;
4;m;
5;s;
4;b;
5;c;
3;r;
5;r;
5;s;
3;d;
4;s;
4;r;
5;r;
4;s;
4;t;
5;s;
4;n;
5;t;
4;f;
4;s;
5;t;
3;s;
4;t;
5;t;
5;n;
4;s;
3;r;
4;r;
3;t;
5;t;
6;s;
4;s;
4;n;
4;s;
4;m;
3;t;
4;s;
4;n;
4;r;
4;r;
5;s;
6;n;
4;l;
6;t;
4;s;
4;t;
3;r;
4;t;
4;t;
3;r;
5;r;
4;n;
4;r;
3;t;
4;t;
7;n;
6;s;
5;r;
5;s;
6;r;
5;t;
4;s;
5;t;
4;l;
3;s;
4;s;
4;s;
4;n;
7;c;
4;r;
5;s;
6;r;
5;n;
4;t;
3;t;
4;r;
4;t;
5;r;
4;t;
5;n;
5;r;
4;s;
4;n;
3;t;
5;t;
3;s;
5;t;
4;r;
4;n;
5;n;
6;s;
5;t;
6;s;
4;r;
5;n;
5;n;
5;s;
3;t;
4;t;
4;t;
3;t;
5;r;
5;r;
5;t;
4;c;
4;s;
4;n;
6;r;
4;r;
3;t;
4;m;
5;s;
5;n;
5;r;
4;r;
4;t;
3;t;
8;r;
4;t;
6;t;
5;s;
4;n;
6;t;
6;n;
5;t;
4;t;
3;t;
4;n;
4;r;
6;t;
5;t;
4;t;
6;m;
3;r;
5;r;
6;n;
5;t;
3;t;
4;t;
5;r;
4;r;
5;r;
4;s;
4;t;
6;m;
3;t;
5;t;
4;s;
3;t;
4;n;
5;s;
4;m;
5;s;
4;r;
6;s;
5;r;
5;r;
6;r;
4;s;
4;r;
5;t;
5;r;
5;t;
5;m;
4;r;
4;n;
4;l;
3;g;
3;s;
4;t;
5;t;
4;t;
4;t;
5;n;
6;r;
6;t;
4;r;
5;m;
5;r;
4;t;
5;l;
4;r;
4;r;
6;r;
3;t;
4;r;
4;r;
6;n;
7;s;
7;s;
5;m;
6;n;
8;s;
5;m;
6;s;
3;t;
4;t;
4;s;
6;n;
4;m;
7;r;
6;s;
5;t;
3;t;
5;n;
3;r;
6;s;
4;r;
5;r;
5;m;
6;r;
4;n;
4;t;
6;s;
4;t;
5;s;
5;n;
4;t;
5;r;
5;r;
5;q;
5;t;
3;t;
4;s;
5;t;
5;s;
4;r;
4;m;
6;n;
5;s;
3;s;
4;s;
5;r;
5;t;
3;c;
4;r;
5;s;
5;n;
3;n;
6;r;
4;c;
4;n;
5;r;
4;r;
5;s;
5;m;
4;t;
5;n;
4;s;
4;t;
4;s;
4;t;
4;n;
6;n;
4;d;
4;s;
5;n;
4;m;
4;t;
4;r;
5;n;
4;s;
5;t;
5;n;
4;r;
4;t;
5;t;
4;r;
4;r;
5;r;
5;m;
4;t;
5;s;
4;t;
5;t;
4;t;
3;t;
5;s;
3;r;
7;m;
4;t;
4;m;
5;s;
3;r;
4;n;
4;s;
3;n;
6;s;
4;t;
5;s;
5;r;
6;s;
6;t;
4;r;
4;n;
4;n;
3;t;
4;n;
6;t;
4;n;
4;r;
5;l;
5;s;
3;t;
3;t;
3;m;
6;c;
4;r;
4;t;
5;r;
3;l;
3;t;
4;n;
5;s;
3;n;
3;r;
5;t;
4;r;
3;t;
5;s;
5;s;
5;r;
4;r;
4;n;
5;n;
5;n;
4;n;
3;l;
4;n;
2;r;
4;t;
7;s;
2;t;
5;t;
4;s;
5;t;
5;s;
3;s;
4;n;
4;t;
5;s;
5;n;
4;r;
3;q;
5;s;
3;t;
4;s;
6;r;
3;s;
5;t;
5;r;
3;t;
4;r;
5;r;
4;s;
4;t;
4;s;
5;c;
7;r;
4;n;
5;n;
4;m;
4;m;
8;t;
6;r;
6;s;
4;s;
4;t;
5;n;
5;s;
5;n;
5;n;
7;n;
3;t;
4;n;
3;s;
6;t;
4;s;
5;r;
4;t;
4;r;
6;r;
4;t;
4;r;
5;t;
5;n;
4;n;
5;r;
4;r;
5;t;
4;t;
4;s;
6;s;
3;t;
4;t;
4;s;
6;n;
5;s;
4;r;
4;t;
5;s;
3;s;
5;t;
5;r;
3;r;
5;n;
7;s;
5;t;
5;n;
5;s;
5;r;
4;s;
4;t;
6;s;
6;s;
6;s;
5;s;
5;s;
6;t;
5;s;
6;r;
4;t;
3;t;
5;t;
4;t;
4;t;
5;n;
7;s;
4;t;
4;t;
5;t;
3;s;
6;r;
4;t;
9;s;
4;t;
7;s;
5;t;
4;r;
5;n;
5;c;
4;s;
6;n;
4;t;
6;r;
5;n;
6;t;
5;n;
4;r;
6;t;
4;s;
4;r;
5;t;
5;s;
3;s;
5;s;
5;r;
4;s;
6;t;
3;s;
4;t;
5;s;
5;m;
7;s;
3;m;
5;t;
4;r;
4;r;
6;r;
6;s;
4;n;
4;r;
4;t;
5;n;
4;t;
3;t;
4;t;
4;n;
7;s;
4;m;
6;c;
5;r;
4;r;
6;r;
